time/s	Ewe/V	<I>/mA	
6.115012290447485E+003	2.1681390E+000	-1.098997259939306E+001
6.130012291159946E+003	2.1669970E+000	-1.098995394959333E+001
6.145012291872408E+003	2.1658158E+000	-1.098975927593721E+001
6.160012292584870E+003	2.1646345E+000	-1.098975006713130E+001
6.175012293297332E+003	2.1634533E+000	-1.098993187724738E+001
6.190012294009794E+003	2.1624296E+000	-1.098995604678663E+001
6.205012294722255E+003	2.1612482E+000	-1.098975822613258E+001
6.220012295434717E+003	2.1601064E+000	-1.098982757757988E+001
6.235012296147179E+003	2.1590040E+000	-1.098983991850642E+001
6.250012296859641E+003	2.1579409E+000	-1.098966547558767E+001
6.265012297572102E+003	2.1567991E+000	-1.098974954604367E+001
6.280012298284564E+003	2.1555390E+000	-1.098991270254532E+001
6.295012298997026E+003	2.1545546E+000	-1.098966311505311E+001
6.310012299709488E+003	2.1535308E+000	-1.098970016504423E+001
6.325012300421949E+003	2.1523890E+000	-1.098980366731287E+001
6.340012301134411E+003	2.1512077E+000	-1.098962318216825E+001
